"Sr.No","Device No","Device Type","String Id","Date Time","Set value of current(Amps)","Current R","Current Y","Current B","Voltage R","Voltage Y","Voltage B","PF R","PF Y","PF B","KW R","KW Y","KW B","KWH","KVA R","KVA Y","KVA B","KVAH","Current Usage(Hrs)","Emergency Status","Mode","Door Status","Voltage Status","Load Status","MCB Status","Lamp Status","Lamp On Time","Lamp Off Time","I/P","Battery Mode On Time","Battery Mode Off Time"
"#{rowIndex+1}","DIM 00012","Single Phase","043","2017-03-27 13:34:26.0","","0.0","","","218.55","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","DOOR OPEN","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","042","2017-03-27 13:34:19.0","","0.0","","","220.86","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","041","2017-03-27 13:34:11.0","","0.0","","","219.16","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","040","2017-03-27 13:33:55.0","","0.0","","","221.18","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","039","2017-03-27 13:33:55.0","","0.0","","","220.86","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","038","2017-03-27 13:33:48.0","","0.0","","","220.3","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","037","2017-03-27 13:33:41.0","","0.0","","","220.92","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","036","2017-03-27 13:33:33.0","","0.0","","","221.0","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","035","2017-03-27 13:33:26.0","","0.0","","","221.88","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
"#{rowIndex+1}","DIM 00012","Single Phase","034","2017-03-27 13:33:18.0","","0.0","","","222.55","","","1.0","","","0.0","","","0.48","0.0","","","0.53","00:00:00","","AUTO","","","","","","","","","",""
